date,value
2021-01-28,1000000.0,1000000.0
2021-01-29,1000000.0,1005937.5624043135
2021-01-30,1000000.0,1005937.5624043135
2021-01-31,1000000.0,1005937.5624043135
2021-02-01,1000000.0,993455.3684350663
2021-02-02,1000182.01,1009609.2657924517
2021-02-03,1000182.01,1022504.1602875591
2021-02-04,1000192.8400000001,1021542.9674499101
2021-02-05,1000192.8400000001,1032629.9673833456
2021-02-06,1000192.8400000001,1032629.9673833456
2021-02-07,1000192.8400000001,1032629.9673833456
2021-02-08,1000149.9700000001,1036434.7999733742
2021-02-09,1000149.9700000001,1041200.8254010517
2021-02-10,1000149.9700000001,1043940.624375957
2021-02-11,1000149.9700000001,1042774.4125673968
2021-02-12,1000149.9700000001,1041509.6851494376
2021-02-13,1000149.9700000001,1041509.6851494376
2021-02-14,1000149.9700000001,1041509.6851494376
2021-02-15,1000149.9700000001,1041509.6851494376
2021-02-16,1000149.9700000001,1048954.2701191506
2021-02-17,1000149.9700000001,1043333.5552153365
2021-02-18,1000142.0500000002,1042630.6330293551
2021-02-19,1000173.8500000001,1044041.8025693937
2021-02-20,1000173.8500000001,1044041.8025693937
2021-02-21,1000173.8500000001,1044041.8025693937
2021-02-22,999853.3600000001,1034560.3408107569
2021-02-23,999511.6000000002,1026977.3014710777
2021-02-24,999761.2000000002,1031407.8413099914
2021-02-25,1000518.8200000002,1042614.6575251282
2021-02-26,999148.3000000002,1022341.7426612527
2021-02-27,999148.3000000002,1022341.7426612527
2021-02-28,999148.3000000002,1022341.7426612527
2021-03-01,999208.1500000001,1023100.5791120284
2021-03-02,1000675.2700000001,1039376.9553351528
2021-03-03,999604.7200000001,1028819.8096252413
2021-03-04,998240.9200000002,1016715.7025893631
2021-03-05,997417.5700000002,1010072.5554150303
2021-03-06,997417.5700000002,1010072.5554150303
2021-03-07,997417.5700000002,1010072.5554150303
2021-03-08,999246.7300000002,1023601.1449111362
2021-03-09,999495.5500000002,1025608.733275644
2021-03-10,1000937.7100000002,1036275.0449311056
2021-03-11,1001856.1600000001,1042545.4303401451
2021-03-12,1002233.3200000002,1044936.4308060973
2021-03-13,1002233.3200000002,1044936.4308060973
2021-03-14,1002233.3200000002,1044936.4308060973
2021-03-15,1003063.1200000001,1049846.2357718167
2021-03-16,1004533.3600000001,1058001.7306796247
2021-03-17,1003308.3400000002,1051606.203820808
2021-03-18,1003520.5600000002,1052652.5993476668
2021-03-19,1001220.0400000002,1041906.4101710711
2021-03-20,1001220.0400000002,1041906.4101710711
2021-03-21,1001220.0400000002,1041906.4101710711
2021-03-22,1001420.4400000002,1042795.7132396991
2021-03-23,1002751.0000000001,1048419.0907275511
2021-03-24,1001584.78,1043714.3047327431
2021-03-25,998784.0700000001,1032906.8761232777
2021-03-26,1001504.2300000001,1042966.1186181189
2021-03-27,1001504.2300000001,1042966.1186181189
2021-03-28,1001504.2300000001,1042966.1186181189
2021-03-29,1005418.4800000002,1056862.1447114425
2021-03-30,1004988.6400000001,1055272.5820408708
2021-03-31,1005281.8900000001,1056313.6523996538
2021-04-01,1007273.2300000002,1063111.2294481795
2021-04-02,1007273.2300000002,1063111.2294481795
2021-04-03,1007273.2300000002,1063111.2294481795
2021-04-04,1007273.2300000002,1063111.2294481795
2021-04-05,1010647.6900000002,1074203.5545496906
2021-04-06,1014102.6100000003,1085154.7626971977
2021-04-07,1013991.2500000002,1084813.9519403582
2021-04-08,1015400.6500000003,1088983.5585435666
2021-04-09,1015973.5300000003,1090623.7103108566
2021-04-10,1015973.5300000003,1090623.7103108566
2021-04-11,1015973.5300000003,1090623.7103108566
2021-04-12,1018719.1300000004,1098238.7006589896
2021-04-13,1019252.7400000002,1099673.8334553686
2021-04-14,1020594.0400000003,1103175.131465087
2021-04-15,1020227.5900000003,1102245.8896358917
2021-04-16,1023940.6300000002,1111399.853557878
2021-04-17,1023940.6300000002,1111399.853557878
2021-04-18,1023940.6300000002,1111399.853557878
2021-04-19,1024568.8900000002,1112906.8761232777
2021-04-20,1022280.0700000002,1107416.6278373161
2021-04-21,1018773.4300000002,1099226.5193370166
2021-04-22,1023692.1100000001,1110420.0226319644
2021-04-23,1019890.5100000001,1101984.9564001863
2021-04-24,1019890.5100000001,1101984.9564001863
2021-04-25,1019890.5100000001,1101984.9564001863
2021-04-26,1025440.5100000001,1114299.4075750515
2021-04-27,1025826.9100000001,1115156.759635226
2021-04-28,1025444.3800000001,1114328.6959994675
2021-04-29,1028090.3800000002,1119920.1224788658
2021-04-30,1027053.2200000002,1117779.4049124676
2021-05-01,1027053.2200000002,1117779.4049124676
2021-05-05,1024275.9400000002,1112177.3280969183
2021-05-06,1023230.5000000002,1110068.5615389736
2021-05-07,1028668.9000000001,1121038.4077747455
2021-05-08,1028668.9000000001,1121038.4077747455
2021-05-09,1028668.9000000001,1121038.4077747455
2021-05-10,1030984.4500000002,1125817.746122612
2021-05-11,1020928.9000000001,1105062.9035478933
2021-05-12,1018316.6200000001,1099793.6497370698
2021-05-13,1010982.7000000002,1085000.3328230048
2021-05-14,1018188.5800000003,1099535.3790854025
2021-05-15,1018188.5800000003,1099535.3790854025
2021-05-16,1018188.5800000003,1099535.3790854025
2021-05-17,1023634.4800000002,1110276.2430939227
2021-05-18,1023109.1200000001,1109216.5346468748
2021-05-19,1014200.4400000002,1091246.754975704
2021-05-20,1017375.6400000002,1097509.15263263
2021-05-21,1023811.9600000002,1109927.4445849697
2021-05-22,1023811.9600000002,1109927.4445849697
2021-05-23,1023811.9600000002,1109927.4445849697
2021-05-24,1024025.8600000002,1110340.14511083
2021-05-25,1028963.5000000002,1119866.8707981096
2021-05-26,1026940.1500000004,1116046.0627038542
2021-05-27,1028399.5000000002,1118801.837182986
2021-05-28,1029671.0200000003,1121152.8988883714
2021-05-29,1029671.0200000003,1121152.8988883714
2021-05-30,1029671.0200000003,1121152.8988883714
2021-05-31,1029671.0200000003,1121152.8988883714
2021-06-01,1030516.2700000003,1122683.8847101114
2021-06-10,1032286.1500000004,1125889.6358916329
2021-06-11,1034437.1500000001,1129707.7814018505
2021-06-12,1034437.1500000001,1129707.7814018505
2021-06-13,1034437.1500000001,1129707.7814018505
2021-06-15,1036331.2900000002,1133004.0604406577
2021-06-16,1035331.3300000002,1131297.3440724222
2021-06-17,1030799.8300000002,1123708.9795646674
2021-06-18,1028274.2500000002,1119558.0110497237
2021-06-19,1028274.2500000002,1119558.0110497237
2021-06-20,1028274.2500000002,1119558.0110497237
2021-06-21,1023096.55,1111202.82233908
2021-06-22,1031546.2000000002,1124837.9151966984
2021-06-23,1035615.1000000003,1131403.8474339347
2021-06-24,1036908.7000000002,1133454.0371430474
2021-06-25,1039897.7800000003,1138108.234041137
2021-06-26,1039897.7800000003,1138108.234041137
2021-06-28,1041716.0800000003,1140890.634360647
2021-06-29,1043162.0200000003,1143103.241696066
2021-06-30,1042708.9000000001,1142421.620182387
2021-07-01,1044523.3000000003,1145105.504892498
2021-07-02,1049257.5100000002,1151993.6097983094
2021-07-03,1049257.5100000002,1151993.6097983094
2021-07-04,1049257.5100000002,1151993.6097983094
2021-07-05,1049257.5100000002,1151993.6097983094
2021-07-06,1054811.4700000002,1159944.085735206
2021-07-07,1053797.7700000003,1158492.9774346005
2021-07-08,1048139.1100000002,1150521.200825401
2021-07-09,1049734.6300000004,1152733.80816082
2021-07-10,1049734.6300000004,1152733.80816082
2021-07-11,1049734.6300000004,1152733.80816082
2021-07-12,1058125.4800000002,1164190.907275511
2021-07-13,1059814.1800000002,1166496.705052253
2021-07-14,1059624.1000000003,1166241.0969846235
2021-07-15,1057395.0100000002,1163288.291286694
2021-07-16,1057080.1900000004,1162864.9404246823
2021-07-17,1057080.1900000004,1162864.9404246823
2021-07-18,1057080.1900000004,1162864.9404246823
2021-07-19,1043016.2500000002,1143952.6060041268
2021-07-20,1036820.8300000003,1135621.3805498236
2021-08-02,1065312.5800000003,1173363.5092857617
2021-08-03,1062474.4600000002,1169603.9406243758
2021-08-04,1067209.3000000003,1175783.7981761298
2021-08-05,1065741.6700000004,1173896.0260933235
2021-08-06,1069985.7700000003,1179277.1084337349
2021-08-07,1069985.7700000003,1179277.1084337349
2021-08-08,1069985.7700000003,1179277.1084337349
2021-08-09,1071838.8700000003,1181593.5565466287
2021-08-10,1071417.1300000004,1181066.3649071425
2021-08-11,1072797.3700000003,1182767.7561073021
2021-08-12,1073651.4700000002,1183806.1638820476
2021-08-13,1077759.9100000004,1188801.1715369767
2021-08-14,1077759.9100000004,1188801.1715369767
2021-08-15,1077759.9100000004,1188801.1715369767
2021-08-16,1077070.87,1187951.8072289156
